标题,摘要,标签,情感
年报与分析师报告语调差异对权益资本成本的影响——基于自然语言处理技术,已有文献多聚焦单语调信息环境下投资者决策行为，而本文认为，信息是多元的，不同语调之间的差异也可能会对投资者决策产生影响。本文以2010~2021年我国沪深A股上市公司为研究样本，利用自然语言处理技术构建语调差异量化指标，研究年报与分析师报告语调差异对企业权益资本成本的影响。研究发现，年报与分析师报告语调差异越大，企业权益资本成本越高。进一步研究发现，信息不对称在两者之间发挥了部分中介作用。异质性检验发现，在非国有企业、分析师能力较强以及盈利能力较差的样本组中，两者关系更加显著。经济后果检验发现，年报与分析师报告语调差异提高了企业权益资本成本，从而降低了企业价值。,自然语言处理,消极
语料库语言学与自然语言处理技术的结合在大学英语阅读教学中的应用,大学英语阅读教学一直面临学生词汇量有限、阅读理解能力不足等问题。近年来，语料库语言学和自然语言处理技术的迅速发展为解决这些问题提供了新的思路。当前大学英语阅读教学存在许多问题。语料库语言学和自然语言处理技术结合应用于大学英语阅读教学具有很大价值。将二者结合应用的具体路径，包括基于语料库的词汇和语法教学、基于自然语言处理技术的阅读理解训练、智能阅读系统的开发等。通过语料库语言学和自然语言处理技术的有机结合，旨在提高大学英语阅读教学的针对性和有效性，培养学生的英语阅读能力。,自然语言处理,积极
自然语言处理技术在会计专业英语教学改革中的应用研究,全球化信息时代下，会计行业逐渐走向国际化，对会计专业本科毕业生的能力提出了新的要求，会计从业者可能需要跨越国界与不同文化和语言背景的人合作。会计本科专业人才培养需要注重学生的跨文化和多语言沟通能力等方面的培养。将自然语言处理（ NLP）技术应用到会计专业英语教学中，可以显著改善传统教育中存在的矛盾和问题。本文在总结分析了本科会计专业英语课程教学中存在问题的基础上，提出了将自然语言处理（ NLP）技术应用于会计专业英语课程教学的建议，并对实施措施进行了探索性分析。,自然语言处理,积极
基于轻量化迁移学习的云边协同自然语言处理方法,为了解决预训练语言模型（ PLMs）由于参数量过大而无法在边缘设备上运行和训练的问题，引入轻量化的迁移模块，并将迁移模块和大型预训练语言模型分离部署，实现高效的云边协同迁移学习框架.利用所提框架，可以在仅微调少量参数的条件下将大型预训练语言模型的表征迁移到下游任务，还可以进行跨领域的云边协同推理.多个领域的下游任务可以协同共享同一个预训练语言模型，能有效节省计算开销.任务可以高效地分离部署在不同的设备上，实现多个任务的分离部署和预训练模型共享.在4项公开自然语言任务数据集上进行实验验证，结果表明，该框架的性能表现能达到完全微调BERT方法的95%以上.,自然语言处理,积极
GRACE反演长江流域陆地水储量变化的机器学习降尺度方法研究,GRACE时变重力场反演陆地水储量变化（Terrestrial Water Storage Anomaly，TWSA）的空间分辨率有限（300- 500km），制约了其在中小尺度区域水循环和气候变化研究中的应用潜力。当前机器学习降尺度方法已有效应用于提高 GRACE TWSA的空间分辨率，但合理选取预测因子及其对机器学习模型性能的影响、以及降尺度结果的准确评估等问题仍需深入探讨。为此，以长江流域陆地水储量变化的降尺度处理为例，对比传统的水文模型降尺度方法和三种机器学习降尺度方法，即随机森林（Random Forest，RF）、极端梯度提升（eXtreme Gradient Boosting，XGBoost）、人工神经网络（Artificial Neural Network，ANN），将GRACE反演的长江流域空间分辨率为1°×1°的TWSA数据降尺度到0.25°×0.25° 和0.1°×0.1°空间分辨率。为了对不同降尺度方法进行评价，首先使用GLDAS水文模型的TWSA数据进行闭合模拟实验， 以评估不同降尺度方法的性能；其后对GRACE获取的TWSA数据降尺度处理，并采用水文站水位数据全面评估不同降尺度方法性能和结果。研究结果表明：机器学习降尺度方法的性能受到预测因子数量的影响，随着预测因子数量的增加降尺度性能也会持续增强，但三种机器学习模型之间的降尺度性能优劣也会发生改变，并且采用偏最小二乘回归分析模型得到的重要性较高的前6个预测因子（NDVI、土壤湿度、降水、气温、径流和U形风）已经在机器学习降尺度中取得较好的效果，增加更多的预测因子对降尺度性能的提升相对较小；RF和XGBoost降尺度方法的性能表现较好且非常接近，而ANN和水文模型降尺度方法的效果略差。此外，传统水文模型降尺度的结果依赖于水文模型与TWSA数据的相关性，而机器学习降尺度方法能够更好地融合多种水文、气象和植被等辅助数据（尤其是重要性较高的预测因子）的变化特征，因而可以更好地恢复中小尺度精细的TWSA信号。,机器学习,积极
大型结构风效应流固耦合机器学习研究进展,随着计算技术与数据科学的迅速发展，机器学习为解决大型结构风效应中复杂流固耦合问题提供了全新的研究范式。本文系统综述机器学习在大型结构风效应领域的研究进展，涵盖了结构表面风压预测、结构风致响应分析与建模、气动力方程智能识别以及基于强化学习的结构振动控制四个主要研究方向。具体而言，结构表面风压预测方面， 机器学习能够精准地挖掘结构表面复杂非线性风压场特征；结构风致响应分析与建模中，机器学习有效实现了大型结构异常大幅振动识别与精细化建模；对于气动力方程智能识别领域，基于数据驱动的机器学习方法大幅提高了非线性方程识别的自动化程度与准确性；在结构振动控制方面，强化学习实现了实时、高效的主动控制策略优化。然而，当前研究在数据融合、模型泛化性与物理可解释性方面仍存在明显不足。未来的研究需进一步融合物理机制与数据驱动模型，构建具备高泛化性、鲁棒性和物理解释能力的机器学习模型，推动结构风工程进一步智能化发展。,机器学习,积极
高精度职业性慢性铅中毒筛查:机器学习增强的LIBS技术应用,"职业性慢性铅中毒是一种逐渐发展的病症,因早期症状不典型而忽略致使铅累积并发展为重度铅中毒,严重威胁着职业群体的身体健康及生活质量。尽管现有技术(如原子荧光光谱)已应用于现场即时监测,但其复杂的设备结构和分析时间限制了快速原位检测的普及。激光诱导击穿光谱(LIBS)作为一种新兴的检测手段在元素分析领域展现出巨大的潜力和应用前景。采用LIBS技术结合机器学习算法,证明了职业性慢性铅中毒类别快速诊断的可行性。优化了全血样品制样方法,提出超声处理可使全血基质分布更加均匀从而缓解激光作用于干燥血液时的样品碎裂问题。相比滤纸、石墨和硼酸基板,载玻片是最合适的基板类型。探讨了不同LIBS实验参数对铅元素特征谱线信号强度与信背比的影响。采集了不同类型职业性慢性铅中毒的模拟血液LIBS数据,利用主成分分析(PCA)提取特征实现数据降维。采用10折交叉验证和支持向量机(SVM)、反向传播神经网络(BPNN)构建慢性铅中毒类别诊断模型。两种模型的识别准确度均达到 90%以上,为低浓度铅元素光谱弱,传统方法难区分问题提出了解决方案,并且BPNN模型表现出优异的诊断效果,分类准确率和精确率分别为95.56%和96.08%。结果表明:基于机器学习的LIBS技术可实现全血中铅元素超标的及时筛检,为快速准确筛查血铅异常值提供了辅助检测方法,为职业性慢性铅中毒的诊断补充了临床依据。",机器学习,积极
国家级超算布局、数智创新生态系统韧性和低空经济领域技术创新———基于BERTopic模型和双重机器学习的实证研究,为验证国家级超算布局如何通过驱动数智创新生态系统韧性提升间接影响低空经济领域技术创新成果数量、质量及技术部门多元化发展，本文基于BERTopic主题模型从低空经济领域发明专利文本中提取出系统架构与智能控制等20个细分技术主题，以及飞行器导航与控制系统等5个技术大类主题（技术部门）；构建包括遗传繁衍、结构冗余、功能升级、栖息适应、锁定破解5个维度的数智创新生态系统韧性评价体系，采用双重机器学习模型对2011 ～ 2023年30个省域的面板数据进行实证分析，结论如下： （1）国家级超算布局能够显著促进区域在低空经济领域的技术创新数量和技术创新质量； （2）国家级超算布局能够通过促进数智创新生态系统韧性，间接促进低空经济领域飞行器导航与控制系统、飞行器激光与光电检测技术、结构动力与任务执行系统、智能巡检与监控系统4个技术大类主题的技术创新， 但对消防救援无人机系统这一典型场景驱动的技术创新作用不显著； （3）遗传繁衍等5个维度都能够在国家级超算布局和低空经济领域技术创新之间发挥机制效应，但部分机制路径当前不具备可推广性。,机器学习,积极
机器学习技术在航空材料领域的应用,机器学习技术在航空材料领域具有广阔的发展前景，并在材料选择、设计和优化等方面发挥着重要作用。首先简要论述机器学习技术在航空领域中的优势和潜力，概述机器学习的技术发展、算法类别和特征及其局限性，介绍机器学习在科学研究中，特别是复杂材料数据形式下的常规的或潜在的应用。其次，主要关注机器学习在航空材料领域的研究现状，探讨近年来利用机器学习辅助高温合金材料、高强度结构材料、热防护涂层材料及功能与智能材料的研究进展，并阐述机器学习驱动航空材料研究的策略和方法。最后，对机器学习辅助航空材料研发所面临的挑战进行展望，通过推动数据资源的开放共享、深化领域知识和物理规律在机器学习模型中的融合，以及不同类型数据的特征一致性转换，助力航空材料研究向大数据驱动的材料科学第四范式转型。,机器学习,积极
机器学习指导下的椎间盘组织工程体系预测模型建立,[目的]通过多种机器学习方法建立多特征参数对椎间盘支架生物学效应的预测模型，以降低实验试错成本，实现椎间盘退行性病变组织工程治疗的高效化。[方法]基于近10年（2014—2024年）椎间盘支架相关材料、工艺、细胞培养数据，构建特征多维、标签多样的综合数据集，进而采用岭分类器、高斯朴素贝叶斯（ Gaussian NB）、线性判别分析（LDA）、高斯过程分类器（GPC）等21种分类算法，评估各模型在数据集上的预测性能。[结果]多数分类模型在本数据集上的预测一致性较好，且运行时间较短；其中，基于岭分类器算法构建的机器学习模型能对支架上的细胞行为进行最准确的预测。而通过进一步的模型可解释性分析，可以获知各支架特征参数生物学效应的方向和程度，从而使该模型具有较高的推广价值。[结论]机器学习方法对于椎间盘组织工程体系的开发具有指导意义，通过恰当的模型构建，研究人员可以有针对性地进行特征组合，从而简单快捷地设计出具有良好生物学活性的支架。,机器学习,积极
基于MRI影像组学⁃深度学习特征预测较低级别胶质瘤ATRX突变状态,目的　利用多参数MRI影像数据构建一种多尺度特征联合模型，以非侵入性地预测较低级别胶质瘤 （LGG）患者的α地中海贫血／智力低下综合征X染色体连锁基因（ ATRX）突变状态。 方法　 回顾性搜集经病理证实为LGG患者的临床、影像及病理资料。基于多参数MRI，结合影像组学特征和resnet50架构的2． 5D深度学习特征，构建LGG患者的ATRX突变状态的预测模型。通过特征筛选、机器学习算法的应用，并结合临床变量，构建临床⁃影像组学⁃深度学习的nomogram模型。 结果　最终纳入186例患者，其中ATRX阳性135例，ATRX阴性51 例。提取了10530个影像组学特征及32个深度学习特征。经过筛选和特征降维，保留了20个影像组学⁃深度学习特征。在多种机器学习模型中，多层感知机模型表现最佳，其在训练组和验证组的曲线下面积（ AUC）分别为0． 94 和0． 90。结合临床变量构建的nomogram模型在训练组中的AUC为0． 95，其显著优于单纯的临床模型和影像组学模型。 结论　本研究通过多参数MRI提取瘤体及瘤周的影像组学和深度学习特征，构建了预测ATRX状态的模型，表现出优异的诊断效能。其对于低级别胶质瘤的诊断、治疗和预后评估具有重要的价值。本研究也展示了影像组学和深度学习技术在非侵入性地预测肿瘤分子状态中的潜力。,机器学习,积极
基于Python的生态学数据分析与机器学习实验设计,Python语言因其在生物数据分析中的广泛应用，已成为生物信息学实验的重要内容。本文基于珊瑚生存环境与分布的数据集，构建了一套整合Python数据分析与机器学习技术的实验框架，旨在探究盐度、温度等环境因子对珊瑚分布的影响，并评估随机森林、支持向量机等模型在珊瑚存在状态预测中的效能。对于调查数据的分析结果表明，珊瑚主要分布于低纬度地区，利用机器学习方法能够基于盐度、一月温度、六月温度，较准确地预测珊瑚存在状态。本实验设计为生态学数据解析提供了可复用的技术路径，其方法框架可扩展至其他海洋生物分布预测，并提供保护决策支持。,机器学习,积极
基于不同机器学习算法构建T2 WI影像组学模型预测宫颈癌放化疗疗效的对比研究,目的　探讨并对比基于机器学习多种算法构建T2 WI影像组学模型预测宫颈癌放化疗疗效的效能。 方法　回顾性分析符合入组标准的155例宫颈癌患者，采用ITK⁃SNAP软件在T2 WI图像上勾画肿瘤感兴趣区，通过 uAI Research Portal软件提取影像组学特征。依次采用最佳k特征算法（ SKB）、最小绝对收缩和选择法（ LASSO）筛选出最优特征集，分别采用逻辑回归（ LR）、高斯过程（ GP）、支持向量机（ SVM）、随机森林（ RF）4种机器学习算法构建T2 WI影像组学预测模型。绘制不同模型的受试者工作特征曲线，并计算曲线下面积（ AUC）、准确度、敏感度、 特异度和F1值评估模型的效能。 结果　通过T2 WI图共提取了2264个组学特征，依次采用SKB、LASSO算法降维筛选出最优特征集，包括boxsigmaimage ＿glcm ＿Maximum Probability、wavelet ＿firstorder ＿wavelet⁃HLH⁃Range、recur⁃ sivegaussian＿ngtdm ＿ Complexity、wavelet ＿ glszm ＿ wavelet⁃HLH⁃Gray Level Non Uniformity、wavelet ＿ glszm ＿ wavelet⁃LLL⁃ Gray Level Non Uniformity、wavelet ngtdm＿wavelet⁃HLH⁃Complexity。采用LR、GP、SVM、RF 4种机器学习算法构建 T2 WI影像组学模型，在训练集预测宫颈癌放化疗疗效的AUC值分别为0． 717、0． 716、0． 720、0． 860，在测试集分别为0． 730、0． 722、0． 709、0． 694。其中，LR模型具有最高的AUC值和F1值，其综合判别性能最佳，为本研究推荐的优选模型。 结论　基于机器学习多种算法构建的T2 WI影像组学模型对宫颈癌治疗反应预测均具有良好的预测效能，且LR模型可作为优选预测模型。,机器学习,积极
基于堆叠策略与深度学习的异常电量数据智能校核方法,针对部分电网公司存在的异常电量数据校核效率低下问题，文中提出了一种基于堆叠策略与深度学习的双层校核方法。首先，采用混合采样技术对输入数据进行综合预处理，有效解决了大型电力数据普遍存在的数据缺失与类别不平衡问题。其次，采用多种浅层机器学习模型作为基分类器，并基于堆叠策略对其进行融合，以充分发挥各基分类器的优势。再次，采用深度神经网络作为元分类器，寻找最优融合规则并输出最终校核结果，进一步提高了校核准确性。最后，在真实电力数据集上进行测试，结果证明了所提方法的有效性。,机器学习,消极
基于机器学习的“一带一路”倡议背景下中欧贸易运输碳达峰预测,针对“一带一路”倡议背景下中欧贸易运输的碳达峰问题，基于2013—2022年中国与欧盟26国贸易的面板数据，采用多种机器学习算法构建不同预测模型对中欧贸易运输碳达峰情况进行预测。首先，基于STIRPAT模型使用Lasso回归筛选“一带一路”倡议下中欧贸易运输碳排放影响因素；其次，使用五个机器学习算法对“一带一路”倡议下中欧贸易运输碳排放进行仿真预测，并采用R2、RMSE、MAE作为模型的评价指标对比各算法预测精度，来选定最佳预测模型。结果表明，中国和欧盟各国的经济水平、人口规模、产业结构和能源结构是“一带一路”倡议下中欧贸易运输碳排放的主要影响因素，GWO-SVR算法表现最优，可以作为预测算法，在现有情景下，大多数欧盟国家与中国的贸易运输碳排放水平难以在2030年实现达峰，需要在政策上进行调整以推动中欧贸易运输碳达峰。,机器学习,积极
基于机器学习的比特币非法交易检测综述,比特币的匿名性和去中心化特性使其成为非法交易的重要工具，给传统资金追踪和法律监管带来巨大挑战。为应对这一问题，研究者逐渐采用机器学习技术，通过强大的数据处理能力检测比特币网络中的非法交易。然而，现有研究多基于非标准化数据集，缺乏对比分析，难以实现实际应用。本文系统梳理了近年来基于机器学习的比特币非法交易检测研究，回顾了主要成果和技术进展，重点分析了数据准备、特征提取及分类算法的应用现状。通过仿真分析几种常用机器学习算法，并基于准确率、精确率、召回率和F1分数等指标对其检测性能进行了评估。研究发现现有方法在标准化和智能化方面存在不足，提出了算法智能化及多源数据融合的未来发展方向，旨在提升比特币非法交易检测的准确性和实用性。,机器学习,积极
基于机器学习的变压器油色谱分析监测系统研究,为提高对数字供电所变压器异常数据的识别准确性，提出一种基于气体关联分析的数字供电所变压器油色谱监测装置的偏差识别及系统搭建。首先，根据变压器油色谱监测装置中溶解气体的时序变化，采用滑动窗口算法对数据进行了曲线拟合；然后为实现数据符号化，采用k-means算法对气体数据进行了聚类分析；最后，采用Apriori算法对气体进行关联分析，并利用数据分段细化数据区间，实现了变压器油色谱监测装置的偏差识别与定位。算例分析结果表明，所提方法可有效追踪数字供电所变压器油色谱监测装置的群体偏差，且具有一定的有效性和准确性。,机器学习,积极
基于机器学习的超细HNS固相熟化预测模型,超细六硝基茋（HNS）因其优异的热稳定性和良好的高压短脉冲性能，在冲击片雷管等领域得以广泛应用。然而，在超细 HNS的使役过程中因其高表面能，易发生固相熟化。尽管已有研究从不同角度探讨了温度、残余溶剂和时间等因素对超细HNS固相熟化过程的影响，但这些研究大多集中于单一或少数几个因素的分析，尚未建立能够整合多种影响因素的预测模型。为此，研究基于先前通过小角X射线散射（SAXS）在不同温度条件和残余二甲基甲酰胺（DMF）含量下获得的比表面积（SSA）和相对比表面积 （RSSA）数据，采用机器学习方法以及优化的经验模型，构建了一个综合考虑时间、温度和残余DMF含量的预测模型结果显示，在训练集上，随机森林预测的R2达到了0.9989，多项式回归模型拟合的R2为0.9091，优化后的经验模型的R2为0.9129。通过对比这三个模型的预测效果，找出了最适合预测超细HNS固相熟化进程的模型。此外，通过纯度测试、扫描电子显微镜（SEM）等手段揭示了颗粒特性的差异对超细HNS固相熟化程度具有显著影响。本研究提供了一种预测超细HNS固相熟化进程的方法，为探索其熟化机理及优化贮存稳定性奠定了基础。,机器学习,积极
基于机器学习的低压铸造铝合金硬度预测研究,基于3 418条实际低压铸造铝合金生产数据，提出了一种结合多种机器学习算法的集成学习硬度预测模型。结合多种机器学习算法， 构建了一个多模型集成的硬度预测模型。通过对Lasso回归、支持向量回归（SVR）、K近邻回归（KNN）、梯度提升回归（GBR）、XGBoost 和Stacking模型进行比较，选取表现最佳的Stacking模型进行优化和验证。结果表明，Stacking模型在MAE、R²等指标上均展现出最优的表现。可解释的SHAP分析表明，Cu、Zn等元素对合金硬度的影响显著。,机器学习,积极
基于机器学习的高速铁路斜拉桥钢箱梁温度模式研究,为探究高速铁路大跨度斜拉桥钢箱梁的温度模式，基于商合杭高铁裕溪河大桥实测温度数据和数据库资料，通过机器学习方法，对钢箱梁温度受各类气象因素影响的模式、温度场的时间和空间分布规律开展研究。通过建立反映多种气象因素与钢箱梁日均匀温度映射关系的机器学习模型，分析各模型的优劣性和适用性，并得到影响钢箱梁日均匀温度的气象因素重要性排名；综合机器学习方法和指数拟合研究钢箱梁竖向温度分布模式。结果表明：气象因素对钢箱梁日均匀温度的影响重要性从高到低排名依次为气温、累积辐射量、气压、湿度、辐射强度、风向、水平能见度、风速、降水量，且温度的重要性远超其他气象因素；其中对钢箱梁日均匀温度影响最大的是2和3 h前的大气温度，反映了大气温度变化对钢箱梁日均匀温度的影响有2~3 h的滞后性；神经网络、 随机森林和XGBoost模型均能较为准确地对钢箱梁日均匀温度进行预测，其中神经网络模型的整体预测效果较好；钢箱梁负温差对气象因素的敏感度较低，与自身结构的热量传递模式相关性更大；指数函数能较高精度地拟合钢箱梁竖向最大正温差分布情况，其参数可通过机器学习方法确定，且不同参数分别具有不同的实际物理意义。研究结果为高速铁路大跨度斜拉桥钢箱梁温度结构的温度预测及分布模式提供了参考。,机器学习,积极
基于机器学习的极端风场短时预测研究进展与思考,随着全球气候的变化，极端风场短时预测已成为国际风工程领域的研究热点与学术前沿。在极端风场来临前， 精准预测原位风速对于工程结构安全预警与应急防护具有重要意义。传统数值天气预报方法是极端风场预测的有效手段，但由于空间分辨率不足、计算资源消耗大，其难以实现工程结构原位风速的实时预测。随着人工智能技术的快速发展，机器学习为解决上述难题提供了新思路，在极端风场短时预测中的应用越趋广泛，且展露出广阔的应用前景。据此，本文对基于机器学习的极端风场短时预测研究进展进行了综述。首先，回顾了时间序列模型、机器学习模型和混合模型在风场预测中的应用原理及其特点；其次，从良态强风、台风、雷暴风3种频发强风的角度，分类论述了常采用的极端风场短时预测方法，并对其优缺点进行了归纳总结。最后，针对极端风场短时预测的研究现状与挑战，阐述了作者对该领域未来潜在研究方向的思考。,机器学习,积极
基于机器学习的开源软件项目维护状态识别,"随着开源软件的广泛普及和迅速发展,对开源软件项目的维护工作成为软件开发周期中的一个关键环节.
作为全球范围内代表性的开发者社区, GitHub往往在同一领域有着大量功能相似的软件项目仓库,导致用户在选择合适的项目仓库进行使用或进一步开发时面临挑战,因此协助用户准确识别项目仓库的维护状态具有重要的现实意义.然而, GitHub平台并未提供可以直接衡量项目仓库维护状态的信息.提出一个基于机器学习的项目仓库维护状态自动识别方法,设计实现一套基于机器学习的分类模型GitMT,通过有效整合动态时间序列特征和描述性特征,可以实现项目仓库“活跃”与“未维护”状态的准确识别.经过一系列基于大规模真实数据的实验验证, GitMT 在项目仓库维护状态的识别任务中AUC值达到了0.964.此外,还构建一个以软件项目仓库维护状态为中心的开源数据集——GitMT Dataset: https://doi.org/10.7910/DVN/OJ2NI3.",机器学习,积极
基于机器学习的连续梁桥损伤识别研究,以某部分预应力混凝土四跨连续箱梁桥为背景，基于2种机器学习方法，进行连续梁桥损伤识别研究。建立三维车－路－桥耦合系统有限元模型，采用刚度折减法模拟梁体损伤，将桥梁应变差值最大值作为损伤识别指标，加入噪声并做归一化处理，得到损伤识别的训练集和测试集。分别采用BP神经网络和支持向量机（SVM）训练损伤位置与损伤程度识别模型，对比2 种训练方法的识别效果。结果表明，应变差值最大值作为损伤识别指标时，对损伤有较高的敏感性；BP神经网络模型的抗噪能力比SVM模型抗噪能力强，当噪声水平增大至20％时，BP神经网络模型的损伤位置识别正确率仍在90％以上，而SVM模型的识别正确率则降至75％以下；BP神经网络模型的损伤程度识别结果的RMSE远小于SVM模型的RMSE；BP神经网络模型的R2均等于1，而SVM模型的R2均略大于1。2种模型都可以识别桥梁的损伤程度，但是 BP神经网络模型比SVM模型的识别效果更好，抗噪能力更强。,机器学习,积极
基于机器学习的气象多因子影响浪高分析,为了解机器学习在海浪预测中的准确性，选取广东茂名浮标站2013年2月至2024年6月逐小时观测数据，应用机器学习方法分析了风速、气温、气压等气象因子对广东近海有效浪高的具体影响，并评估了10种机器学习模型在预测有效浪高方面的性能特点，结果表明：风速是SWH预测最重要的因子，气温和月份的影响次之；在单因子（风速）和多因子（风速、月份、气温）模型拟合两个实验中，支持向量机回归在两种拟合实验中均表现最佳，特别是在多因子拟合中，预测值的均方根误差约为0.31，相关系数高达 0.87，决定系数为0.74，显示出优秀的预测性能；轻量级梯度提升机回归则在预测稳定性方面与SVR相当。,机器学习,积极
基于机器学习的食管癌程序性细胞死亡相关基因预后模型的构建与应用,"目的:通过生物信息学方法评估程序性细胞死亡相关基因( programmed cell death related genes, PCDRGs)在食管癌( esophageal carcinoma,EC)中的预后价值,并从多个角度探索EC的发生发展机制及其免疫调节特性。方法:利用TCGA和GSE53622数据集,并结合下载的18种PCDRGs,结合10种不同的机器学习方法开发一种全新的预测模型,命名为“细胞死亡特征” ( characteristics of cell deaths,CDS)。通过模型筛选出7个与预后显著相关的基因,并对其与EC的关系进行了深入分析。结果:使用StepCox[ both] +RSF方法开发的PCDRGs预后模型显示了最优性能。CDS模型在预测EC患者的临床结果方面表现出显著的效能,并在 TCGA和GEO数据集中被证明为独立的风险预测因子。结论:本研究成功构建了一种新型的EC PCDRGs预测模型。该模型在进一步验证后,有望用于预测EC患者的预后及药物治疗的敏感性。",机器学习,积极
基于机器学习的土木工程结构损伤识别技术分析,为精确识别、评估土木工程结构在自然灾害与长期负荷下的损伤情况，本研究采用基于机器学习的技术方法，以震后建筑结构损伤检测为例，设计并实现了完整的损伤识别模型。该模型涵盖从数据预处理、特征工程到损伤特征提取的整个分析流程，进行了超参数的调整与优化。研究结果表明， 该机器学习模型在提高损伤识别的准确性、效率方面表现优越，能支持结构健康监测与紧急响应决策，研究成果充分展示了机器学习技术在土木工程损伤识别领域的应用潜力。,机器学习,积极
基于机器学习的我国男子抓举成绩预测模型及应用,"为探究举重运动中我国优秀男子运动员的抓举技术动作特征,构建抓举成绩的机器学习模型,通过三维运动解析法对前期在各大赛事中获取的303次抓举视频进行解析后,再利用BP神经网络和决策树2种机器学习方法对获取的72 720条数据进行了学习,构建了我国男子抓举成绩预测模型,并应用于运动员的抓举技术分析中.结果表明:含杠铃最大速度、杠铃最大下降速度、杠铃最大高度的决策树模型预测结果最佳,其训练集和测试集的R2分别为0. 960和. 0. 996.利用机器学习构建的抓举成绩预测模型可为运动员抓举技术的分析和提升提供新的评价方法,为运动员抓举技术的提升提供新的理论依据.",机器学习,积极
基于机器学习的学生预警模型研究,随着教育信息化的深入推进，海量教育数据的积累为教育决策带来了前所未有的机遇。作为教育管理的重要组成部分，学生预警在优化教育资源配置、提升管理效能方面发挥着至关重要的作用。但传统的学生预警方法在处理海量、多维度的教育数据时存在精度低、时效性差等问题。本文提出了一种基于机器学习的学生预警模型构建方案，旨在通过深度挖掘和分析教育数据，构建一个高效、精准的预警模型。,机器学习,积极
基于机器学习数据驱动的热塑性硫化胶力学性能影响机理,本文针对热塑性硫化胶（TPV）的力学性能进行了深入研究，以解决其相对于传统硫化橡胶存在的弹性问题。TPV以其突出的可回收性和优良的回弹性在材料科学领域具有独特的优势，然而相对于橡胶仍面临弹性不足的问题。本研究提出了一种综合的研究方法，即集成代表性体积单元 （RVE）模型和机器学习方法，用以全面研究TPV的力学响应。应用支持向量机（SVM）、卷积神经网络（CNN）和随机森林算法（RF）等机器学习模型对TPV的力学性能进行预测，并验证了模型的准确性。通过重要性分析和特征相关性分析，揭示了聚丙烯（PP）和三元乙丙橡胶（EPDM） 的弹性模量比对TPV性能的重要影响，并提出相应的调节理论。该研究对于理解和预测TPV材料性能有重要意义，为材料设计和工程应用提供了深刻见解。,机器学习,积极
基于机器学习特征选择技术筛选老年患者伏立康唑清除影响因素,基于机器学习算法筛选与伏立康唑清除相关的重要影响因素。方法　根据收集的接受伏立康唑治疗的老年患者临床数据集，应用过滤法、包装法和嵌入法3类方法中7种特征选择技术筛选与伏立康唑清除相关的重要影响因素，以机器学习算法中梯度下降回归（ SGDR）、套索回归（ LassoR）、岭回归（ RidgeR）、随机森林回归（ RFR）、极端梯度提升回归（ XGBR）、支持向量回归（ SVR）6种算法作为评价模型，使用5折交叉验证和平均绝对误差（ MAE）比较模型的性能。使用SHAP值对影响因素重要性进行分析。结果　特征选择可以显著改善SVR模型性能，因此选取SVR模型作为评价模型，对最终筛选的7个影响因素构建预测模型。优化超参数后模型精密度良好，平均相对误差32．57％，约 57．89％的预测值相对误差在±20％范围内。SHAP结果显示影响因素重要性排序为丙氨酸氨基转移酶、碱性磷酸酶、血小板计数、给药方式、肌酐、总胆红素、降钙素原。结论　使用机器学习特征选择技术可以应用于伏立康唑清除影响因素的筛选。,机器学习,积极
基于机器学习引导信息的A*算法PCB布线优化研究,在现代电子工业中，提高印刷电路板（Printed Circuit Board，PCB）布线的效率和质量是至关重要的。针对现有PCB布线方法面临的效率低下和布线结果不佳的问题，提出了一种结合机器学习与经典A*搜索算法的优化技术。该方法通过训练机器学习模型来预测最佳布线路径，显著减少了A*算法的搜索空间，并提高了搜索效率。在一系列实验中，这种新方法展现了卓越的性能，将搜索空间缩减了12.9%，同时在自建的A*PCB数据集上的推理时间缩短至1.07 s，与传统A*算法相比，提速了15.1%。这一成果不仅提升了自动布线的计算效率，还保证了布线质量，对电子设计自动化领域具有重要意义。,机器学习,积极
基于深度学习的加密流量分类研究综述,随着互联网技术的迅速发展，网络流量类型变得复杂多变。同时为确保数据安全，大量信息通过加密协议进行传输，加密条件下流量原始信息不可见，这导致传统的流量分类方法不再适用。在此背景下，加密流量分类技术应运而生，它旨在识别和区分加密流量的类型和来源。加密流量分类不仅要正确区分各类已知流量做好流量管控，还要识别出可能携带恶意信息的未知流量做好安全防护。本文首先介绍了在通用环境下加密流量分类技术的研究现状，从已知流量分类、未知流量分类和数据集三个方面展开分析，探讨了通用环境下的加密流量分类技术未来发展趋势。并进一步分析了工业互联网这一特定环境下加密流量分类技术研究现状，包括公共流量数据缺乏、工业协议多样、特征提取复杂。最后，展望了未来研究的方向，包括构建高质量数据集、优化特征提取方法、提升未知流量检测准确度。为实现加密流量精准分类以保障网络服务质量和安全防护提供借鉴和启示。,机器学习,积极
